1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.26483961974826736,1,0.005,-1
3,0,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.14258758197082952,1,0.005,-1
4,0,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.1513791479715275,1,0.005,-1
5,0,3,"[6, 1, 3, 4, 7, 7, 4, 7, 1, 2]",28,14,0.213156197558563,1,0.005,-1
6,0,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.292577502549823,1,0.005,-1
7,0,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.261542588250126,1,0.005,-1
8,0,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]",20,10,0.21669387046619493,1,0.005,-1
9,0,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.22709485841243343,1,0.005,-1
10,0,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.1625883228168087,1,0.005,-1
11,0,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.17868086760674307,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,1,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.17868086760674307,1,0.005,-1
3,1,15,"[1, 0, 1, 2, 3, 4, 4, 2, 2, 3]",11,11,0.25329270349499494,1,0.005,-1
4,1,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]",15,14,0.28742300176116214,1,0.005,-1
5,1,3,"[6, 1, 3, 4, 7, 7, 4, 7, 1, 2]",28,14,0.213156197558563,1,0.005,-1
6,1,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.055791354361820984,1,0.005,-1
7,1,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.261542588250126,1,0.005,-1
8,1,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.14258758197082952,1,0.005,-1
9,1,0,"[72, 101, 64, 79, 80, 87, 78, 92, 59, 90]",46,16,0.0,1,0.005,-1
10,1,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.1513791479715275,1,0.005,-1
11,1,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]",10,13,0.13484836579444706,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,2,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.22709485841243343,1,0.005,-1
3,2,7,"[3, 1, 6, 5, 5, 4, 5, 4, 3, 3]",22,17,0.17063697494523078,1,0.005,-1
4,2,0,"[72, 101, 64, 79, 80, 87, 78, 92, 59, 90]",46,16,0.0,1,0.005,-1
5,2,17,"[5, 5, 5, 3, 8, 6, 4, 6, 3, 6]",39,12,0.09063530118203954,1,0.005,-1
6,2,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.261542588250126,1,0.005,-1
7,2,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.055791354361820984,1,0.005,-1
8,2,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]",15,14,0.28742300176116214,1,0.005,-1
9,2,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.1447840252320051,1,0.005,-1
10,2,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.14258758197082952,1,0.005,-1
11,2,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.26483961974826736,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,3,16,"[3, 7, 2, 3, 4, 2, 4, 7, 4, 2]",25,13,0.14465801288639704,1,0.005,-1
3,3,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.1513791479715275,1,0.005,-1
4,3,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.292577502549823,1,0.005,-1
5,3,12,"[6, 6, 3, 5, 3, 11, 5, 2, 4, 7]",36,16,0.15350000029565564,1,0.005,-1
6,3,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.261542588250126,1,0.005,-1
7,3,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.055791354361820984,1,0.005,-1
8,3,15,"[1, 0, 1, 2, 3, 4, 4, 2, 2, 3]",11,11,0.25329270349499494,1,0.005,-1
9,3,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.22709485841243343,1,0.005,-1
10,3,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.14258758197082952,1,0.005,-1
11,3,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]",10,13,0.13484836579444706,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,4,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.17868086760674307,1,0.005,-1
3,4,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.292577502549823,1,0.005,-1
4,4,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]",15,14,0.28742300176116214,1,0.005,-1
5,4,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]",20,10,0.21669387046619493,1,0.005,-1
6,4,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.261542588250126,1,0.005,-1
7,4,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.055791354361820984,1,0.005,-1
8,4,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.22709485841243343,1,0.005,-1
9,4,0,"[72, 101, 64, 79, 80, 87, 78, 92, 59, 90]",46,16,0.0,1,0.005,-1
10,4,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.1447840252320051,1,0.005,-1
