1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.2981809593015526,1,0.005,-1
3,0,23,"[2, 6, 1, 3, 2, 5, 1, 5, 6, 6]",24,13,0.18629232957661324,1,0.005,-1
4,0,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.14931374215482934,1,0.005,-1
5,0,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.2618035122971893,1,0.005,-1
6,0,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]",20,10,0.2113377866417999,1,0.005,-1
7,0,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]",38,17,0.18628271185531972,1,0.005,-1
8,0,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.13850443547949223,1,0.005,-1
9,0,29,"[10, 9, 5, 4, 2, 3, 6, 3, 2, 8]",41,11,0.18159260482766348,1,0.005,-1
10,0,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]",10,13,0.1377353673736141,1,0.005,-1
11,0,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]",15,14,0.2888622750126863,1,0.005,-1
12,0,25,"[3, 7, 3, 5, 7, 3, 6, 6, 3, 5]",36,12,0.09357123614976603,1,0.005,-1
13,0,0,"[114, 158, 100, 112, 123, 120, 118, 143, 107, 135]",46,16,0.0,1,0.005,-1
14,0,24,"[2, 5, 1, 2, 5, 0, 0, 3, 4, 3]",13,12,0.2984748558046002,1,0.005,-1
15,0,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.1623731422245426,1,0.005,-1
16,0,28,"[3, 4, 5, 2, 3, 4, 1, 5, 4, 2]",20,13,0.15118743441159915,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,1,12,"[6, 6, 3, 5, 3, 11, 5, 2, 4, 7]",36,16,0.1627825093807058,1,0.005,-1
3,1,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.13850443547949223,1,0.005,-1
4,1,23,"[2, 6, 1, 3, 2, 5, 1, 5, 6, 6]",24,13,0.18629232957661324,1,0.005,-1
5,1,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.14931374215482934,1,0.005,-1
6,1,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.2618035122971893,1,0.005,-1
7,1,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.2981809593015526,1,0.005,-1
8,1,21,"[8, 10, 5, 5, 8, 3, 8, 6, 8, 7]",52,16,0.09934632850801799,1,0.005,-1
9,1,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]",10,13,0.1377353673736141,1,0.005,-1
10,1,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.18232193008467662,1,0.005,-1
11,1,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.1623731422245426,1,0.005,-1
12,1,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.13882393571658885,1,0.005,-1
13,1,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.2627438087989543,1,0.005,-1
14,1,16,"[3, 7, 2, 3, 4, 2, 4, 7, 4, 2]",25,13,0.13241158194584665,1,0.005,-1
15,1,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]",15,14,0.2888622750126863,1,0.005,-1
16,1,3,"[6, 1, 3, 4, 7, 7, 4, 7, 1, 2]",28,14,0.2226037346202834,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,2,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.06747136074378014,1,0.005,-1
3,2,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.1623731422245426,1,0.005,-1
4,2,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]",35,17,0.19725608691079333,1,0.005,-1
